age,стоимость_акций,contact,day,month,duration,campaign,previous,poutcome
42,7190,cellular,29,jul,375,2,0,unknown
29,482,cellular,10,jul,1097,3,0,unknown
54,209,cellular,25,jul,97,1,0,unknown
32,0,cellular,26,aug,181,2,0,unknown
39,5803,cellular,2,feb,83,3,0,unknown
53,624,cellular,21,jul,180,4,0,unknown
58,883,cellular,18,aug,543,1,2,failure
40,1516,unknown,23,may,373,1,0,unknown
29,872,unknown,7,may,230,1,0,unknown
33,-988,cellular,15,jul,83,3,0,unknown
38,902,telephone,31,jul,58,13,0,unknown
56,1007,cellular,29,jul,88,6,0,unknown
40,0,cellular,2,jun,297,1,3,failure
24,174,cellular,18,may,487,1,0,unknown
46,12186,unknown,20,jun,29,3,0,unknown
35,524,cellular,21,nov,484,4,0,unknown
35,0,cellular,21,jul,262,4,0,unknown
34,4,unknown,15,may,644,1,0,unknown
35,11219,cellular,12,aug,699,2,1,failure
38,0,cellular,28,aug,247,2,0,unknown
50,5776,cellular,18,nov,49,3,0,unknown
51,37,cellular,13,may,341,1,0,unknown
59,593,unknown,13,may,64,2,0,unknown
32,1148,cellular,20,apr,121,1,0,unknown
37,3561,unknown,2,jun,98,1,0,unknown
42,63,unknown,16,may,88,6,0,unknown
40,260,unknown,20,jun,197,6,0,unknown
28,2269,unknown,9,may,331,1,0,unknown
47,1060,unknown,6,jun,83,3,0,unknown
27,-220,unknown,26,may,138,2,0,unknown
41,49,cellular,17,jul,312,5,0,unknown
34,69,cellular,4,aug,120,3,6,success
50,4108,cellular,7,aug,526,2,0,unknown
47,480,unknown,28,may,211,2,0,unknown
53,4994,cellular,18,aug,62,6,0,unknown
53,0,cellular,15,jul,135,5,0,unknown
47,3681,cellular,14,aug,101,2,0,unknown
49,-701,cellular,30,jul,988,2,0,unknown
29,451,cellular,28,jan,451,1,0,unknown
45,-311,unknown,23,may,1030,1,0,unknown
38,593,cellular,24,jul,1484,24,0,unknown
32,759,cellular,9,apr,317,5,0,unknown
70,4531,cellular,18,may,445,1,0,unknown
65,1840,cellular,1,jun,383,2,5,failure
56,345,telephone,22,jul,605,1,0,unknown
35,1287,cellular,14,jul,330,2,0,unknown
56,353,cellular,25,jul,171,2,0,unknown
56,205,cellular,23,jul,442,2,0,unknown
49,687,cellular,17,apr,772,1,0,unknown
38,1147,unknown,8,may,249,5,0,unknown
35,4286,unknown,9,may,357,1,0,unknown
38,605,cellular,18,nov,147,2,0,unknown
49,8545,cellular,6,may,199,7,1,failure
55,559,cellular,28,jan,271,2,0,unknown
43,2,cellular,30,jul,783,3,0,unknown
43,2,cellular,20,aug,472,2,0,unknown
25,760,cellular,27,may,223,3,2,failure
30,1317,unknown,21,may,395,2,0,unknown
46,182,cellular,4,feb,56,1,0,unknown
50,276,unknown,17,jun,641,6,0,unknown
35,2971,cellular,4,may,429,4,2,failure
26,1064,unknown,31,may,113,1,0,unknown
45,1783,unknown,20,jun,11,11,0,unknown
37,-67,cellular,2,feb,157,1,0,unknown
60,179,cellular,29,jul,79,4,0,unknown
38,1199,cellular,4,aug,178,1,1,success
47,214,unknown,9,jun,168,1,0,unknown
33,6699,cellular,9,nov,425,1,1,failure
51,1760,cellular,19,nov,162,1,0,unknown
35,145,cellular,18,jul,799,2,0,unknown
35,978,cellular,29,dec,1370,3,3,success
48,1150,unknown,28,may,357,1,0,unknown
37,121,cellular,22,jul,22,6,0,unknown
29,828,cellular,16,apr,215,3,3,other
34,244,cellular,31,jul,56,4,0,unknown
32,228,cellular,21,jul,1017,6,0,unknown
30,424,cellular,16,apr,298,4,0,unknown
47,447,unknown,7,may,126,1,0,unknown
33,-195,unknown,20,sep,9,1,0,unknown
33,1410,cellular,5,feb,8,1,5,failure
63,1084,cellular,14,oct,201,1,1,success
51,10924,cellular,6,may,106,2,0,unknown
41,832,cellular,21,nov,164,1,1,failure
56,478,cellular,5,feb,97,1,0,unknown
60,0,cellular,23,jul,151,1,0,unknown
41,3950,unknown,30,may,96,2,0,unknown
37,504,cellular,16,apr,555,1,0,unknown
36,219,cellular,11,may,270,2,1,failure
57,1602,cellular,29,jul,339,3,0,unknown
55,2587,cellular,4,sep,328,2,2,success
44,0,unknown,16,may,159,1,0,unknown
47,2303,cellular,6,may,323,2,1,failure
31,1660,cellular,20,apr,342,1,0,unknown
35,32,cellular,21,nov,180,1,0,unknown
39,278,cellular,28,jul,60,3,0,unknown
50,4,cellular,17,nov,223,1,2,failure
29,318,cellular,18,may,1434,2,4,failure
30,209,unknown,6,may,30,2,0,unknown
46,271,unknown,16,may,134,4,0,unknown
27,3196,cellular,9,feb,10,2,0,unknown
48,4099,cellular,2,apr,397,2,0,unknown
26,2572,cellular,5,may,620,1,0,unknown
36,339,cellular,21,nov,6,6,0,unknown
42,0,cellular,7,may,209,2,0,unknown
50,395,unknown,15,may,419,2,0,unknown
49,2039,cellular,18,nov,283,2,0,unknown
45,5450,cellular,8,aug,188,2,0,unknown
23,780,cellular,16,sep,267,1,0,unknown
38,0,cellular,7,apr,196,2,0,unknown
32,8436,cellular,17,apr,245,1,2,failure
60,11262,cellular,26,aug,323,1,0,unknown
30,946,cellular,19,nov,1065,1,1,other
58,497,unknown,11,jun,138,5,0,unknown
60,55,cellular,4,jun,207,1,0,unknown
38,-140,unknown,25,jun,456,3,0,unknown
51,-379,cellular,5,aug,261,1,0,unknown
42,-396,cellular,11,may,80,1,4,failure
30,0,cellular,18,may,131,6,9,failure
40,733,unknown,6,jun,94,7,0,unknown
37,393,cellular,14,may,567,3,4,failure
53,7290,unknown,30,may,153,1,0,unknown
27,468,cellular,13,may,109,1,0,unknown
39,0,cellular,30,apr,53,1,1,failure
39,3705,unknown,16,jun,77,1,0,unknown
59,9676,telephone,27,mar,234,2,0,unknown
37,1328,telephone,13,may,121,2,4,failure
41,8,cellular,15,jul,155,2,0,unknown
45,61,cellular,17,apr,108,1,0,unknown
48,6613,unknown,17,jun,159,3,0,unknown
48,302,unknown,26,may,208,3,0,unknown
32,1005,cellular,12,may,215,1,0,unknown
35,109,unknown,6,may,597,3,0,unknown
33,1240,cellular,4,feb,505,2,1,other
28,0,unknown,3,jun,380,4,0,unknown
64,2923,cellular,12,mar,120,1,0,unknown
35,0,cellular,27,aug,106,4,0,unknown
33,43,cellular,14,may,332,2,2,failure
41,288,unknown,15,may,221,4,0,unknown
34,613,cellular,4,jun,80,1,0,unknown
37,6101,cellular,4,may,60,5,1,success
38,168,telephone,13,may,212,3,0,unknown
39,7685,cellular,14,apr,493,3,0,unknown
35,4515,cellular,19,nov,98,2,0,unknown
28,517,cellular,8,jul,681,1,0,unknown
27,148,cellular,22,jul,203,1,0,unknown
48,-285,cellular,19,nov,157,1,0,unknown
50,887,unknown,16,jun,287,1,0,unknown
45,3098,cellular,7,aug,159,2,0,unknown
41,744,unknown,14,may,125,1,0,unknown
39,130,cellular,8,jul,202,2,0,unknown
44,438,telephone,8,may,37,3,1,failure
54,0,cellular,28,jan,161,1,2,failure
49,322,cellular,6,aug,72,4,0,unknown
34,186,cellular,2,feb,342,1,0,unknown
75,3810,cellular,16,nov,262,1,1,failure
42,0,cellular,13,aug,325,2,0,unknown
53,4380,telephone,19,aug,223,7,0,unknown
49,755,cellular,31,jul,1212,4,0,unknown
31,2070,cellular,29,aug,319,2,0,unknown
45,999,cellular,29,jan,182,2,0,unknown
39,167,cellular,17,jul,330,1,0,unknown
46,1322,cellular,19,nov,514,1,0,unknown
42,1076,unknown,14,may,213,1,0,unknown
37,502,cellular,7,may,551,1,1,failure
26,1216,cellular,16,apr,472,2,0,unknown
37,876,cellular,15,apr,140,4,2,failure
36,342,unknown,7,may,142,1,0,unknown
29,950,unknown,4,jun,135,3,0,unknown
36,973,unknown,23,may,293,1,0,unknown
26,3825,unknown,13,may,107,1,0,unknown
32,2366,unknown,20,may,127,2,0,unknown
40,542,cellular,20,nov,1816,1,0,unknown
53,995,cellular,4,feb,200,3,0,unknown
29,20,cellular,12,may,418,1,0,unknown
34,228,cellular,22,jul,387,4,0,unknown
43,130,cellular,5,may,156,1,3,failure
56,217,cellular,21,jul,121,2,0,unknown
55,0,unknown,6,jun,108,2,0,unknown
31,259,cellular,7,may,47,1,0,unknown
27,619,cellular,20,apr,16,5,4,other
36,644,cellular,18,nov,54,2,0,unknown
44,22,cellular,6,aug,265,2,0,unknown
37,4303,unknown,23,may,168,1,0,unknown
30,239,cellular,7,may,115,3,0,unknown
42,275,cellular,26,aug,31,8,0,unknown
30,1221,telephone,25,jul,279,4,0,unknown
62,816,cellular,1,sep,28,2,0,unknown
24,1222,cellular,20,apr,369,1,0,unknown
31,2363,unknown,13,may,247,1,0,unknown
66,2262,cellular,22,apr,155,1,0,unknown
47,2,cellular,10,jul,89,1,0,unknown
39,2,cellular,17,nov,180,1,0,unknown
35,4508,cellular,18,nov,854,1,0,unknown
35,-402,cellular,17,apr,46,1,0,unknown
27,1577,unknown,28,may,266,2,0,unknown
32,34,cellular,5,may,321,2,0,unknown
44,795,cellular,28,aug,99,24,0,unknown
42,117,unknown,9,may,147,1,0,unknown
34,5462,cellular,30,apr,430,1,0,unknown
25,402,cellular,7,jul,264,1,0,unknown
40,641,cellular,16,jul,156,6,0,unknown
43,36,cellular,26,may,118,1,2,failure
55,383,unknown,6,may,343,3,0,unknown
50,283,cellular,7,aug,226,3,0,unknown
45,0,unknown,1,jun,5,1,0,unknown
35,3102,cellular,20,nov,138,1,0,unknown
32,889,cellular,10,sep,185,1,5,success
59,0,telephone,3,feb,722,1,4,failure
34,-370,unknown,21,may,748,1,0,unknown
39,-606,unknown,26,may,142,1,0,unknown
40,10378,cellular,17,nov,523,3,0,unknown
36,1313,unknown,20,jun,8,10,0,unknown
40,8969,cellular,17,nov,153,1,0,unknown
55,-196,unknown,20,may,210,2,0,unknown
38,15,cellular,10,jul,121,1,0,unknown
61,4608,cellular,12,mar,212,1,0,unknown
41,666,unknown,21,may,253,3,0,unknown
57,452,unknown,13,may,139,4,0,unknown
48,149,unknown,9,may,71,1,0,unknown
77,7802,telephone,4,may,421,1,2,success
35,1453,unknown,28,may,199,1,0,unknown
54,1480,unknown,14,may,108,1,0,unknown
37,715,unknown,20,may,247,2,0,unknown
56,237,telephone,9,jul,236,4,0,unknown
40,694,cellular,4,feb,97,4,5,failure
40,0,cellular,14,jul,109,8,0,unknown
54,55,cellular,2,jun,112,2,0,unknown
55,136,unknown,19,jun,15,10,0,unknown
55,-404,cellular,22,jul,502,3,0,unknown
52,779,unknown,16,may,30,3,0,unknown
55,1187,unknown,2,jun,193,2,0,unknown
33,641,cellular,13,aug,347,2,0,unknown
52,826,unknown,15,may,468,2,0,unknown
33,991,unknown,27,may,148,1,0,unknown
53,1796,telephone,16,mar,295,1,2,success
46,22,cellular,26,aug,388,6,0,unknown
44,244,cellular,12,aug,1735,4,0,unknown
48,1328,unknown,6,may,339,1,0,unknown
50,7317,cellular,13,may,172,1,1,failure
34,4943,cellular,19,nov,117,2,0,unknown
38,258,unknown,20,jun,587,2,0,unknown
42,515,cellular,19,nov,501,2,0,unknown
32,12607,cellular,14,aug,203,5,1,failure
58,2,telephone,25,jul,282,9,0,unknown
31,13,cellular,28,aug,110,5,0,unknown
19,103,cellular,10,jul,104,2,0,unknown
41,3872,cellular,15,oct,231,1,0,unknown
31,296,unknown,20,may,378,3,0,unknown
52,217,cellular,15,jul,193,6,0,unknown
42,360,unknown,24,jun,110,5,0,unknown
41,428,cellular,12,may,92,1,0,unknown
30,315,cellular,23,jun,1407,1,0,unknown
38,121,cellular,6,feb,168,1,2,failure
32,820,cellular,17,jul,738,3,0,unknown
52,195,cellular,18,feb,220,1,5,failure
48,108,unknown,27,may,89,2,0,unknown
36,-381,cellular,31,jul,30,29,0,unknown
45,757,cellular,20,apr,103,1,4,failure
34,691,unknown,2,jun,70,1,0,unknown
36,1925,cellular,20,apr,904,2,0,unknown
34,902,cellular,14,may,159,1,2,other
61,5207,cellular,11,sep,336,1,2,other
54,0,unknown,19,jun,220,1,0,unknown
50,665,telephone,17,nov,238,1,0,unknown
43,738,cellular,21,nov,585,4,4,failure
47,233,cellular,8,aug,293,3,0,unknown
45,-839,unknown,28,may,68,1,0,unknown
57,5799,unknown,17,jun,97,1,0,unknown
27,1033,unknown,9,may,1713,1,0,unknown
49,66,cellular,9,jul,218,3,0,unknown
43,2567,cellular,14,may,109,1,2,failure
40,1584,telephone,21,nov,661,1,0,unknown
32,182,cellular,6,may,145,1,0,unknown
58,76,telephone,18,may,54,4,0,unknown
34,663,cellular,20,apr,111,1,0,unknown
46,3455,unknown,14,may,566,2,0,unknown
29,15,cellular,3,jun,136,1,0,unknown
52,1054,cellular,4,aug,273,1,0,unknown
45,1529,cellular,30,jun,160,1,0,unknown
26,63,cellular,28,jul,76,4,0,unknown
40,0,cellular,19,aug,44,1,0,unknown
41,920,unknown,27,may,239,1,0,unknown
47,3696,cellular,12,jul,250,2,4,success
27,59,cellular,15,jul,792,4,0,unknown
27,0,cellular,23,jul,198,13,0,unknown
48,157,unknown,6,may,73,1,0,unknown
49,2465,cellular,20,aug,157,3,0,unknown
35,0,cellular,24,jul,90,6,0,unknown
47,2,cellular,5,feb,236,2,0,unknown
54,0,cellular,16,jul,118,5,0,unknown
39,12437,telephone,18,nov,40,1,0,unknown
28,378,cellular,17,apr,346,1,0,unknown
54,211,unknown,19,jun,200,2,0,unknown
34,-228,cellular,20,apr,187,3,3,other
63,2747,cellular,11,sep,113,1,1,failure
42,1932,unknown,16,may,192,32,0,unknown
43,11269,unknown,29,may,92,1,0,unknown
37,1314,cellular,8,may,682,2,7,success
55,2275,cellular,25,aug,139,9,0,unknown
43,1304,cellular,6,aug,501,2,0,unknown
41,720,cellular,24,jul,651,1,0,unknown
47,2914,cellular,18,aug,405,13,0,unknown
34,1464,unknown,23,may,350,1,0,unknown
28,11555,cellular,8,apr,125,2,0,unknown
36,-302,cellular,13,may,36,2,0,unknown
50,2497,cellular,21,nov,35,1,1,failure
35,-339,unknown,8,may,389,2,0,unknown
40,56,cellular,29,jan,194,1,1,failure
26,211,cellular,29,jan,168,3,0,unknown
36,3611,unknown,4,jun,347,3,0,unknown
59,0,cellular,30,jan,3025,2,0,unknown
28,459,cellular,16,mar,83,13,0,unknown
46,242,unknown,9,may,332,2,0,unknown
50,1138,cellular,14,aug,219,10,0,unknown
53,1319,cellular,16,apr,427,1,1,failure
81,1,cellular,19,aug,65,5,0,unknown
35,67,cellular,5,may,192,2,0,unknown
58,937,cellular,5,aug,155,1,0,unknown
44,0,cellular,11,may,161,1,0,unknown
38,-558,cellular,21,jul,533,1,0,unknown
49,171,cellular,4,feb,19,3,2,other
33,696,cellular,5,feb,193,1,8,failure
29,361,cellular,28,jul,819,3,0,unknown
28,227,cellular,30,apr,278,1,0,unknown
31,236,telephone,4,may,211,3,0,unknown
33,-53,cellular,29,jan,617,2,0,unknown
52,192,cellular,23,jul,61,2,0,unknown
43,38,cellular,25,jul,197,6,0,unknown
32,518,cellular,18,may,34,7,0,unknown
36,16,cellular,18,jul,95,4,0,unknown
41,-256,unknown,3,jun,147,2,0,unknown
43,105,cellular,4,jul,668,2,0,unknown
45,334,unknown,5,jun,87,2,0,unknown
39,1048,cellular,21,jul,405,1,0,unknown
41,108,unknown,13,may,83,7,0,unknown
31,660,cellular,22,jun,115,1,0,unknown
37,0,cellular,10,jul,108,1,0,unknown
28,1034,cellular,29,jan,113,1,0,unknown
47,201,cellular,7,aug,58,2,1,failure
37,189,cellular,8,aug,148,4,0,unknown
60,-49,cellular,29,jan,188,1,2,failure
43,1413,telephone,28,jul,75,3,0,unknown
58,264,cellular,8,jul,523,3,0,unknown
52,54,telephone,18,nov,103,1,0,unknown
50,12519,cellular,17,apr,146,2,4,success
32,2881,cellular,2,jul,356,1,0,unknown
42,0,cellular,17,jul,71,1,0,unknown
31,88,cellular,8,aug,189,2,0,unknown
28,1020,unknown,28,may,251,1,0,unknown
36,119,cellular,23,jul,127,8,0,unknown
